COD_MINICIPIO,MUNICIPIO_NACIMIENTO
1,BARRANQUILLA
32,ASTREA
13,AGUSTÍN CODAZZI
60,BOSCONIA
570,PUEBLO BELLO
621,LA PAZ
245,EL CARMEN
250,EL PASO
750,SAN DIEGO
175,CHIMICHAGUA
855,URUMITA
545,PIJIÑO DEL CARMEN
874,VILLANUEVA
443,MANAURE BALCÓN DEL CESAR
310,GONZÁLEZ
58,ARIGUANÍ
817,TOCANCIPÁ
228,CURUMANÍ
836,TURBACO
178,CHIRIGUANÁ
11,AGUACHICA
400,LA JAGUA DE IBIRICO
787,TAMALAMEQUE
238,EL COPEY
650,SAN JUAN DEL CESAR
276,FLORIDABLANCA
45,BECERRIL
759,SOGAMOSO
692,SAN SEBASTIÁN DE BUENAVISTA
679,SAN GIL
517,PAILITAS
288,FUNDACIÓN
110,EL MOLINO
78,BARRANCAS
555,PLATO
999,CIUDAD EXTRANJERO
188,CICUCO
549,PINILLOS
279,FONSECA
88,BELLO
670,SAN PABLO
770,SAN MARTÍN
660,SAHAGÚN
3,ÁBREGO
380,LA DORADA
189,CIÉNAGA
430,MAICAO
79,BUENAVISTA
600,RÍO VIEJO
420,LA JAGUA DEL PILAR
268,EL RETÉN
31,AMALFI
560,MANAURE
74,BARRANCO DE LOBA
378,HATONUEVO
170,CHIBOLO
894,ZAMBRANO
847,URIBIA
244,EL CARMEN DE BOLÍVAR
466,MONTELÍBANO
468,SANTA CRUZ DE MOMPOX
498,OCAÑA
688,SANTA ROSA DEL SUR
551,PIVIJAY
638,SABANALARGA
713,SAN ONOFRE
197,COCORNÁ
