COD_PLAN,AVANCE_CARRERA,COD_ACCESO,COD_SUBACCESO,CONVOCATORIA,APERTURA,T_DOCUMENTO,GENERO,EDAD,NUMERO_MATRICULAS,PAPA,PROME_ACADE,PBM_CALCULADO,ESTRATO,COD_DEPTO_RESIDENCIA,COD_MUN_RESIDENCIA,COD_PROVINCIA,COD_MINICIPIO,COD_NACIONALIDAD,VICTIMAS_DEL_CONFLICTO,DISCAPACIDAD,CARACTER_COLEGIO,PUNTAJE_ADMISION
L006,"70,90",1,29,2019-2S,2019-2S,NUMERO DE CEDULA,HOMBRE,23,10.0,"4,00","4,00",36,1,,,8.0,1.0,170,0,0,0,
L005,"73,40",1,29,2019-2S,2019-2S,NUMERO DE CEDULA,MUJER,28,10.0,"4,00","4,00",9,2,20.0,32.0,20.0,32.0,170,0,0,1,
L006,"70,90",1,29,2019-2S,2019-2S,NUMERO DE CEDULA,HOMBRE,21,10.0,"4,30","4,30",7,1,20.0,1.0,20.0,13.0,170,0,0,1,
L005,"11,30",1,1,2023-1S,2023-1S,NUMERO DE CEDULA,HOMBRE,23,3.0,"3,70","3,70",3,1,,,20.0,13.0,170,0,0,1,572.44
L006,"81,30",1,29,2019-2S,2019-2S,NUMERO DE CEDULA,HOMBRE,23,10.0,"4,00","4,00",2,1,20.0,60.0,20.0,60.0,170,0,0,1,
L005,"56,50",1,29,2020-1S,2020-1S,NUMERO DE CEDULA,MUJER,20,9.0,"3,80","3,80",22,0,,,47.0,1.0,170,0,0,1,
L002,"67,10",1,29,2020-1S,2020-1S,NUMERO DE CEDULA,HOMBRE,20,9.0,"4,20","4,20",7,2,,,20.0,1.0,170,0,0,1,
L002,"55,50",1,29,2020-1S,2020-1S,NUMERO DE CEDULA,HOMBRE,20,9.0,"3,40","3,50",9,1,,,20.0,1.0,170,0,0,1,
L004,"50,00",1,29,2019-2S,2019-2S,NUMERO DE CEDULA,MUJER,22,10.0,"3,70","3,90",3,1,20.0,621.0,11.0,1.0,170,0,0,1,
L005,"76,30",1,29,2020-1S,2020-1S,NUMERO DE CEDULA,MUJER,21,9.0,"4,50","4,50",37,4,20.0,1.0,20.0,1.0,170,0,0,0,
L004,"67,30",1,29,2020-1S,2020-1S,NUMERO DE CEDULA,HOMBRE,21,9.0,"4,30","4,30",13,2,,,20.0,1.0,170,0,0,1,
L004,"55,30",1,29,2019-2S,2019-2S,NUMERO DE CEDULA,HOMBRE,24,10.0,"3,70","3,70",4,2,,,20.0,1.0,170,0,0,1,
L005,"75,10",1,29,2019-2S,2019-2S,TARJETA IDENTIDAD,HOMBRE,22,10.0,"4,60","4,60",28,2,20.0,1.0,20.0,1.0,170,0,0,0,
L005,"75,70",1,29,2019-2S,2019-2S,NUMERO DE CEDULA,MUJER,21,10.0,"4,00","4,10",1,1,,,20.0,1.0,170,0,0,1,
L002,"83,20",1,29,2019-2S,2019-2S,NUMERO DE CEDULA,HOMBRE,26,10.0,"4,40","4,40",3,1,20.0,570.0,20.0,570.0,170,0,0,0,
L001,"76,50",1,29,2019-2S,2019-2S,NUMERO DE CEDULA,HOMBRE,23,10.0,"3,90","3,90",35,2,20.0,1.0,20.0,1.0,170,0,0,0,
L003,"82,30",1,29,2020-1S,2020-1S,NUMERO DE CEDULA,HOMBRE,20,9.0,"4,30","4,30",8,2,20.0,621.0,20.0,621.0,170,0,0,1,
L003,"73,80",1,29,2020-1S,2020-1S,NUMERO DE CEDULA,HOMBRE,23,9.0,"4,20","4,20",4,1,,,54.0,245.0,170,0,0,1,
L003,"91,50",1,29,2019-2S,2019-2S,NUMERO DE CEDULA,MUJER,22,10.0,"4,20","4,20",1,1,20.0,621.0,20.0,250.0,170,0,0,1,
L005,"72,30",1,29,2019-2S,2019-2S,NUMERO DE CEDULA,MUJER,23,10.0,"3,80","3,90",5,2,20.0,1.0,20.0,1.0,170,0,0,1,
L001,"78,80",1,29,2019-2S,2019-2S,NUMERO DE CEDULA,HOMBRE,22,10.0,"4,20","4,20",26,4,,,20.0,1.0,170,0,0,0,
L006,"75,30",1,29,2019-2S,2019-2S,NUMERO DE CEDULA,HOMBRE,22,10.0,"4,00","4,10",2,1,20.0,1.0,20.0,1.0,170,0,0,0,
L005,"28,80",1,29,2020-1S,2020-1S,NUMERO DE CEDULA,HOMBRE,21,8.0,"3,20","3,20",19,1,,,20.0,621.0,170,0,0,1,
L003,"93,60",1,29,2020-1S,2020-1S,NUMERO DE CEDULA,HOMBRE,28,9.0,"4,20","4,20",2,1,,,20.0,750.0,170,0,0,1,
L004,"53,30",1,29,2019-2S,2019-2S,NUMERO DE CEDULA,MUJER,23,9.0,"3,90","3,90",3,1,20.0,621.0,20.0,621.0,170,0,0,1,
L001,"65,40",1,29,2019-2S,2019-2S,NUMERO DE CEDULA,MUJER,21,10.0,"3,80","3,80",3,1,20.0,621.0,20.0,175.0,170,0,0,1,
L002,"85,80",1,29,2019-2S,2019-2S,NUMERO DE CEDULA,HOMBRE,21,10.0,"3,90","4,00",1,1,20.0,13.0,20.0,13.0,170,0,0,1,
L004,"68,70",1,29,2020-1S,2020-1S,TARJETA IDENTIDAD,MUJER,21,9.0,"4,20","4,20",26,3,,,11.0,1.0,170,0,0,1,
