SEDE,COD_FACULTAD,FACULTAD,COD_PLAN,PLAN,CONVENIO_PLAN,COD_NIVEL,NIVEL,AVANCE_CARRERA,COD_ACCESO,ACCESO,COD_SUBACCESO,SUBACCESO,CONVOCATORIA,APERTURA,T_DOCUMENTO,GENERO,EDAD,NUMERO_MATRICULAS,PAPA,PROME_ACADE,PBM_CALCULADO,ESTRATO,COD_DEPTO_RESIDENCIA,DEPTO_RESIDENCIA,COD_MUN_RESIDENCIA,MUNICIPIO_RESIDENCIA,COD_PROVINCIA,PROVINCIA_NACIMIENTO,COD_MINICIPIO,MUNICIPIO_NACIMIENTO,COD_NACIONALIDAD,PAIS-NACIONALIDAD,VICTIMAS_DEL_CONFLICTO,DISCAPACIDAD,CARACTER_COLEGIO,PUNTAJE_ADMISION
SEDE DE LA PAZ,1004,ESCUELA DE PREGRADO LA PAZ,L006,INGENIERÍA MECATRÓNICA,,3,PREGRADO,"70,90",1,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,29,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,2019-2S,NUMERO DE CEDULA,HOMBRE,23,10,"4,00","4,00",36,1,,,,,8,ATLÁNTICO,1,BARRANQUILLA,170,COLOMBIA,NO,NO,Plantel Privado,
SEDE DE LA PAZ,1004,ESCUELA DE PREGRADO LA PAZ,L005,INGENIERÍA BIOLÓGICA,,3,PREGRADO,"73,40",1,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,29,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,2019-2S,NUMERO DE CEDULA,MUJER,28,10,"4,00","4,00",9,2,20,CESAR,32,ASTREA,20,CESAR,32,ASTREA,170,COLOMBIA,NO,NO,Plantel Oficial,
SEDE DE LA PAZ,1004,ESCUELA DE PREGRADO LA PAZ,L006,INGENIERÍA MECATRÓNICA,,3,PREGRADO,"70,90",1,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,29,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,2019-2S,NUMERO DE CEDULA,HOMBRE,21,10,"4,30","4,30",7,1,20,CESAR,1,VALLEDUPAR,20,CESAR,13,AGUSTÍN CODAZZI,170,COLOMBIA,NO,NO,Plantel Oficial,
SEDE DE LA PAZ,1004,ESCUELA DE PREGRADO LA PAZ,L005,INGENIERÍA BIOLÓGICA,,3,PREGRADO,"11,30",1,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,1,REGULAR DE PREGRADO,2023-1S,2023-1S,NUMERO DE CEDULA,HOMBRE,23,3,"3,70","3,70",3,1,,,,,20,CESAR,13,AGUSTÍN CODAZZI,170,COLOMBIA,NO,NO,Plantel Oficial,572.44
SEDE DE LA PAZ,1004,ESCUELA DE PREGRADO LA PAZ,L006,INGENIERÍA MECATRÓNICA,,3,PREGRADO,"81,30",1,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,29,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,2019-2S,NUMERO DE CEDULA,HOMBRE,23,10,"4,00","4,00",2,1,20,CESAR,60,BOSCONIA,20,CESAR,60,BOSCONIA,170,COLOMBIA,NO,NO,Plantel Oficial,
SEDE DE LA PAZ,1004,ESCUELA DE PREGRADO LA PAZ,L005,INGENIERÍA BIOLÓGICA,,3,PREGRADO,"56,50",1,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,29,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2020-1S,2020-1S,NUMERO DE CEDULA,MUJER,20,9,"3,80","3,80",22,0,,,,,47,MAGDALENA,1,SANTA MARTA,170,COLOMBIA,NO,NO,Plantel Oficial,
SEDE DE LA PAZ,1004,ESCUELA DE PREGRADO LA PAZ,L002,ESTADÍSTICA,,3,PREGRADO,"67,10",1,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,29,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2020-1S,2020-1S,NUMERO DE CEDULA,HOMBRE,20,9,"4,20","4,20",7,2,,,,,20,CESAR,1,VALLEDUPAR,170,COLOMBIA,NO,NO,Plantel Oficial,
SEDE DE LA PAZ,1004,ESCUELA DE PREGRADO LA PAZ,L002,ESTADÍSTICA,,3,PREGRADO,"55,50",1,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,29,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2020-1S,2020-1S,NUMERO DE CEDULA,HOMBRE,20,9,"3,40","3,50",9,1,,,,,20,CESAR,1,VALLEDUPAR,170,COLOMBIA,NO,NO,Plantel Oficial,
SEDE DE LA PAZ,1004,ESCUELA DE PREGRADO LA PAZ,L004,GESTIÓN CULTURAL Y COMUNICATIVA,,3,PREGRADO,"50,00",1,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,29,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,2019-2S,NUMERO DE CEDULA,MUJER,22,10,"3,70","3,90",3,1,20,CESAR,621,LA PAZ,11,"BOGOTÁ, D.C.",1,"BOGOTÁ, D.C.",170,COLOMBIA,NO,NO,Plantel Oficial,
SEDE DE LA PAZ,1004,ESCUELA DE PREGRADO LA PAZ,L005,INGENIERÍA BIOLÓGICA,,3,PREGRADO,"76,30",1,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,29,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2020-1S,2020-1S,NUMERO DE CEDULA,MUJER,21,9,"4,50","4,50",37,4,20,CESAR,1,VALLEDUPAR,20,CESAR,1,VALLEDUPAR,170,COLOMBIA,NO,NO,Plantel Privado,
