,MUNICIPIO_NACIMIENTO,MUNICIPIO_RESIDENCIA
0,BARRANQUILLA,
1,ASTREA,ASTREA
2,AGUSTÍN CODAZZI,VALLEDUPAR
3,AGUSTÍN CODAZZI,
4,BOSCONIA,BOSCONIA
5,SANTA MARTA,
6,VALLEDUPAR,
7,VALLEDUPAR,
8,"BOGOTÁ, D.C.",LA PAZ
9,VALLEDUPAR,VALLEDUPAR
10,VALLEDUPAR,
11,VALLEDUPAR,
12,VALLEDUPAR,VALLEDUPAR
13,VALLEDUPAR,
14,PUEBLO BELLO,PUEBLO BELLO
15,VALLEDUPAR,VALLEDUPAR
16,LA PAZ,LA PAZ
17,EL CARMEN,
18,EL PASO,LA PAZ
19,VALLEDUPAR,VALLEDUPAR
20,VALLEDUPAR,
21,VALLEDUPAR,VALLEDUPAR
22,LA PAZ,
23,SAN DIEGO,
24,LA PAZ,LA PAZ
25,CHIMICHAGUA,LA PAZ
26,AGUSTÍN CODAZZI,AGUSTÍN CODAZZI
27,"BOGOTÁ, D.C.",
28,VALLEDUPAR,
29,VALLEDUPAR,
30,VALLEDUPAR,
31,VALLEDUPAR,
32,"BOGOTÁ, D.C.",
33,MANIZALES,
34,VALLEDUPAR,
35,LA PAZ,LA PAZ
36,VALLEDUPAR,
37,VALLEDUPAR,
38,URUMITA,VALLEDUPAR
39,VALLEDUPAR,VALLEDUPAR
40,VALLEDUPAR,LA PAZ
41,VALLEDUPAR,LA PAZ
42,VALLEDUPAR,VALLEDUPAR
43,PIJIÑO DEL CARMEN,
44,VALLEDUPAR,
45,VILLANUEVA,VILLANUEVA
46,PIJIÑO DEL CARMEN,VALLEDUPAR
47,VALLEDUPAR,
48,LA PAZ,
49,VALLEDUPAR,
50,VALLEDUPAR,
51,MANAURE BALCÓN DEL CESAR,MANAURE BALCÓN DEL CESAR
52,GONZÁLEZ,
53,VALLEDUPAR,VALLEDUPAR
54,LA PAZ,
55,BOSCONIA,LA PAZ
56,ARIGUANÍ,VALLEDUPAR
57,VALLEDUPAR,SAN DIEGO
58,CHIMICHAGUA,
59,VALLEDUPAR,
60,TOCANCIPÁ,
61,ARIGUANÍ,
62,VALLEDUPAR,VALLEDUPAR
63,VALLEDUPAR,LA PAZ
64,VALLEDUPAR,
65,EL BANCO,
66,VALLEDUPAR,
67,SAN DIEGO,
68,CURUMANÍ,CURUMANÍ
69,LA PAZ,
70,TURBACO,SAN DIEGO
71,BOSCONIA,
72,CHIRIGUANÁ,AGUSTÍN CODAZZI
73,AGUACHICA,
74,VALLEDUPAR,
75,VALLEDUPAR,
76,AGUSTÍN CODAZZI,
77,AGUSTÍN CODAZZI,AGUSTÍN CODAZZI
78,BOSCONIA,VALLEDUPAR
79,CURUMANÍ,
80,MANAURE BALCÓN DEL CESAR,
81,VALLEDUPAR,
82,LA PAZ,MANAURE BALCÓN DEL CESAR
83,CURUMANÍ,
84,VALLEDUPAR,LA PAZ
85,VALLEDUPAR,VALLEDUPAR
86,LA JAGUA DE IBIRICO,MANAURE BALCÓN DEL CESAR
87,VALLEDUPAR,
88,VALLEDUPAR,
89,TAMALAMEQUE,
90,MEDELLÍN,
91,SAN DIEGO,
92,SAN DIEGO,
93,AGUSTÍN CODAZZI,
94,LA PAZ,
95,LA PAZ,MANAURE BALCÓN DEL CESAR
96,VALLEDUPAR,
97,VALLEDUPAR,VALLEDUPAR
98,CALI,VALLEDUPAR
99,VALLEDUPAR,
100,VALLEDUPAR,VALLEDUPAR
101,BUCARAMANGA,
102,VALLEDUPAR,VALLEDUPAR
103,VALLEDUPAR,VALLEDUPAR
104,VALLEDUPAR,
